rank,symbol,name,sector,price,chg,chg_pct,high_52w,low_52w,volume,weight,market_cap_cr,market_cap_raw
145,GGGL,Ghani Global Glass Limited,GLASS & CERAMICS,7.78,0.37,4.99%,14.47,6.7,1.56 Lac,0.03,186.72,186.72 Cr
146,RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING",13.06,-0.15,-1.14%,25.05,12.0,15.67 K,0.02,185.32,185.32 Cr
147,MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING",7.99,-0.01,-0.13%,17.0,7.1,70.32 K,0.01,159.77,159.77 Cr
148,TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,8.15,0.14,1.75%,16.59,4.65,7.14 Lac,0.02,152.62,152.62 Cr
149,KHYT,Khyber Textile Mills Limited,UNKNOWN,1217.89,-127.11,-9.45%,3714.44,395.33,189,0.0,149.5,149.5 Cr
150,MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,51.2,-1.64,-3.10%,170.95,14.8,9.47 K,0.01,147.19,147.19 Cr
151,REDCO,Redco Textiles Limited,TEXTILE COMPOSITE,26.04,0.48,1.88%,40.4,14.9,2.46 K,0.0,128.36,128.36 Cr
152,PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION,106.47,-2.51,-2.30%,420.0,85.01,5.78 K,0.02,126.27,126.27 Cr
153,EMCO,Emco Industries Limited,CABLE & ELECTRICAL GOODS,35.1,-0.48,-1.35%,98.89,29.5,3.08 K,0.01,122.85,122.85 Cr
154,MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING",20.71,0.18,0.88%,70.49,13.11,67.75 K,0.01,122.81,122.81 Cr
155,ELSM,Ellcot Spinning Mills Limited,TEXTILE SPINNING,105.8,0.3,0.28%,138.0,99.0,10,0.01,115.85,115.85 Cr
156,ITTEFAQ,Ittefaq Iron Industries Limited,ENGINEERING,7.4,0.09,1.23%,12.64,5.35,1.4 Lac,0.02,106.81,106.81 Cr
157,SMCPL,Safe Mix Concrete Limited,CEMENT,39.99,-0.01,-0.03%,57.3,13.61,669,0.01,99.97,99.97 Cr
158,OLPM,OLP Modaraba,MODARABAS,22.0,0.0,0%,25.49,15.0,51.89 K,0.02,99.84,99.84 Cr
159,RUPL,Rupali Polyester Limited,SYNTHETIC & RAYON,29.13,0.0,0%,42.79,12.1,1 Lac,0.01,99.24,99.24 Cr
160,KOHTM,Kohat Textile Mills Limited,TEXTILE SPINNING,46.93,-1.06,-2.21%,113.0,25.03,850,0.01,97.61,97.61 Cr
161,POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,125.54,-4.46,-3.43%,330.43,113.11,1.29 K,0.01,97.45,97.45 Cr
162,STJT,Shahtaj Textile Limited,TEXTILE WEAVING,97.79,2.15,2.25%,123.0,59.5,1.11 K,0.0,94.47,94.47 Cr
163,CCM,Crescent Cotton Mills Limited,TEXTILE SPINNING,40.91,0.74,1.84%,68.88,34.4,731,0.01,92.7,92.7 Cr
164,SINDM,Sindh Modaraba,MODARABAS,18.48,0.0,0%,41.25,9.72,101,0.0,83.16,83.16 Cr
165,PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING",103.37,-0.63,-0.61%,279.0,91.0,1.3 K,0.01,82.7,82.7 Cr
166,ORM,Orient Rental Mod,MODARABAS,10.11,-0.25,-2.41%,16.79,8.31,1.61 K,0.01,75.83,75.83 Cr
167,ASHT,Ashfaq Textile Mills Limited,TEXTILE WEAVING,15.99,1.0,6.67%,32.99,11.12,781,0.0,74.46,74.46 Cr
168,CFL,Crescent Fibres Limited,TEXTILE SPINNING,54.96,5.0,10.01%,94.01,44.01,862,0.01,68.25,68.25 Cr
169,BCL,Bolan Castings Limited,ENGINEERING,58.96,-0.83,-1.39%,130.44,56.02,3.36 K,0.01,67.64,67.64 Cr
170,DIIL,Diamond Industries Limited,MISCELLANEOUS,74.5,6.77,10%,91.87,18.0,25.37 K,0.01,67.05,67.05 Cr
171,SHDT,Shadab Textile Mills Limited,TEXTILE SPINNING,40.29,1.24,3.18%,90.0,18.5,1.65 K,0.01,66.88,66.88 Cr
172,SAIF,Saif Textile Mills Limited,TEXTILE SPINNING,25.28,-0.08,-0.32%,52.5,7.85,6.8 K,0.01,66.77,66.77 Cr
173,ZTL,Zephyr Textiles Limited,TEXTILE WEAVING,10.95,0.31,2.91%,21.0,9.75,12.07 K,0.0,65.07,65.07 Cr
174,GFIL,Ghazi Fabrics International Limited,TEXTILE COMPOSITE,19.88,0.33,1.69%,26.96,6.5,1.95 Lac,0.0,64.88,64.88 Cr
175,BNWM,Bannu Woollen Mills Limited,WOOLLEN,66.2,2.26,3.54%,112.4,25.51,12.25 K,0.01,62.93,62.93 Cr
