symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,0,0,63.56,0,0%,109,19.02,1,240.73 Cr
FRCL,,,,,,,,,
,,,,,,,,,
,0,0.02,43.86,0,0%,63.48,34.22,15,173.3 Cr
FRSM,,,,,,,,,
,,,,,,,,,
,0.03,0,12.97,0.17,1.33%,23.9,3.5,670,253.69 Cr
FTMM,,,,,,,,,
,,,,,,,,,
,-0.39,0.01,25.37,-2.82,-10%,57,10.51,93.04 K,53.69 Cr
FTSM,,,,,,,,,
,,,,,,,,,
,-0.06,0.02,197.73,-1.2,-0.60%,446.34,117.17,589,593.19 Cr
FZCM,,,,,,,,,
,,,,,,,,,
,0.05,0.21,303.77,0.13,0.04%,633,291,1.52 Lac,1731.56 Cr
GAL,,,,,,,,,
,,,,,,,,,
,0.1,0.03,69.07,0.35,0.51%,193.75,62.55,10.29 K,750.99 Cr
GATI,,,,,,,,,
,,,,,,,,,
,-0.7,0.1,17.93,-0.21,-1.16%,40.7,16.5,6.51 Lac,1326.93 Cr
GATM,,,,,,,,,
,,,,,,,,,
,1.56,0.19,27.28,0.37,1.38%,39.87,13.75,11.08 Lac,1556.19 Cr
GCIL,,,,,,,,,
,,,,,,,,,
G,1.94,0.06,17.05,0.91,5.64%,25.15,5.35,11.76 Lac,426.5 Cr
GCWL,,,,,,,,,
,,,,,,,,,
G,-1,0.06,18.24,-0.53,-2.82%,33,18,8.85 Lac,782.86 Cr
GDL,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
GEMBCEM,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
GEMMEL,,,,,,,,,
,,,,,,,,,
G,0,0,19,0,0%,52.8,11,326,69.84 Cr
GEMNETS,,,,,,,,,
,,,,,,,,,
G,0,0,0,0,0%,0,0,0,0
GEMPACRA,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
GEMPAPL,,,,,,,,,
,,,,,,,,,
,0.02,0,19.88,0.33,1.69%,26.96,6.5,1.95 Lac,64.88 Cr
GFIL,,,,,,,,,
,,,,,,,,,
,0.85,0.03,7.78,0.37,4.99%,14.47,6.7,1.56 Lac,186.72 Cr
GGGL,,,,,,,,,
,,,,,,,,,
,-0.73,0.08,15.58,-0.23,-1.46%,31.31,10.26,20.97 Lac,551.72 Cr
GGL,,,,,,,,,
,,,,,,,,,
,-0.83,0.35,32.5,-0.13,-0.40%,52.25,26.5,58.28 K,3249.07 Cr
GHGL,,,,,,,,,
,,,,,,,,,
,2.72,0.28,619.77,9.85,1.62%,1030,583.25,3.29 Lac,2640.77 Cr
GHNI,,,,,,,,,
,,,,,,,,,
G,0,0,0,0,0%,0,0,0,0
GIL,,,,,,,,,
,,,,,,,,,
,0.3,0.63,324.1,0.27,0.08%,481,293.09,2.74 Lac,10321.52 Cr
GLAXO,,,,,,,,,
,,,,,,,,,
,0,0.07,700,0,0%,725,132.45,16,2231.04 Cr
GLPL,,,,,,,,,
,,,,,,,,,
,0,0,79,0,0%,171.95,55,34,58.06 Cr
GOC,,,,,,,,,
,,,,,,,,,
,0.3,0.04,24.85,0.33,1.35%,51.5,22.26,70.56 K,303 Cr
GTYR,,,,,,,,,
,,,,,,,,,
,-2.09,0.04,49.53,-4.24,-7.89%,75,38.62,18.39 K,742.66 Cr
GVGL,,,,,,,,,
,,,,,,,,,
,0.03,0.06,45.36,0.04,0.09%,77.96,32,3.68 Lac,1815.64 Cr
GWLC,,,,,,,,,
,,,,,,,,,
,1.06,0.09,69.91,1.42,2.07%,96,59.1,2.11 Lac,943.78 Cr
HABSM,,,,,,,,,
,,,,,,,,,
,-0.02,0,15.84,-0.57,-3.47%,35.42,9.18,5.67 K,20.59 Cr
HAEL,,,,,,,,,
,,,,,,,,,
,0,0,330.25,3.72,1.14%,629.5,250,55,39.63 Cr
HAFL,,,,,,,,,
,,,,,,,,,
,0.93,0.32,662.45,3.21,0.49%,1010,653.14,55.41 K,7754.28 Cr
HALEON,,,,,,,,,
,,,,,,,,,
,0.27,0.14,159.15,0.52,0.33%,321,147.5,40.99 K,2272.66 Cr
HCAR,,,,,,,,,
,,,,,,,,,
,0.09,0.02,283.6,1.96,0.70%,634.5,264.69,3.99 K,703.36 Cr
HINO,,,,,,,,,
,,,,,,,,,
,-5.15,0.54,836.38,-13.56,-1.60%,1241,755.56,12.85 K,4431.42 Cr
HINOON,,,,,,,,,
,,,,,,,,,
,-0.17,0.11,3874.3,-9.86,-0.25%,4889.99,2876,57,3736.67 Cr
HPL,,,,,,,,,
,,,,,,,,,
,-0.02,0,18.11,-0.16,-0.88%,37,16.51,34.64 K,72.44 Cr
HRPL,,,,,,,,,
,,,,,,,,,
,-0.29,0.04,34.99,-0.47,-1.33%,66.5,30.5,23.71 K,487.08 Cr
HTL,,,,,,,,,
,,,,,,,,,
,4.92,5.89,198.7,0.28,0.14%,249.99,114.6,39.21 Lac,25774.46 Cr
HUBC,,,,,,,,,
,,,,,,,,,
,0,0.1,205,0,0%,380,176.55,44,6365.39 Cr
IBFL,,,,,,,,,
,,,,,,,,,
,0.09,0.03,41.18,0.2,0.49%,85.82,28,71.14 K,405.73 Cr
IBLHL,,,,,,,,,
,,,,,,,,,
,-0.02,0,11.76,-0.25,-2.08%,19.91,8.61,6.83 K,35.28 Cr
ICCI,,,,,,,,,
,,,,,,,,,
,1.25,0.18,118.59,1.36,1.16%,176,59.11,88.57 K,1185.9 Cr
ICL,,,,,,,,,
,,,,,,,,,
,0.05,0,27.86,1.23,4.62%,42,15.24,3.64 K,55.31 Cr
IDRT,,,,,,,,,
,,,,,,,,,
,0,0,19.13,0,0%,41.9,11,55,18.98 Cr
IDSM,,,,,,,,,
,,,,,,,,,
,3.02,0.64,75.09,0.59,0.79%,99.35,45,1.1 Lac,10525.44 Cr
ILP,,,,,,,,,
,,,,,,,,,
,-0.38,0.09,20.13,-0.14,-0.69%,36.83,17.7,84.25 K,463.73 Cr
IMAGE,,,,,,,,,
,,,,,,,,,
,-1.91,0.26,142.89,-1.8,-1.24%,249,119.99,11.03 K,1884.46 Cr
INIL,,,,,,,,,
,,,,,,,,,
,3.78,0.17,25.59,0.91,3.69%,32.49,17.8,1.48 Lac,1881.4 Cr
IPAK,,,,,,,,,
,,,,,,,,,
I,-0.05,0.02,8.01,-0.03,-0.37%,13.05,7.26,2.27 Lac,220.96 Cr
IREIT,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
ISIL,,,,,,,,,
,,,,,,,,,
,-10.56,0.31,66.61,-4.05,-5.73%,135,62,24.1 Lac,2897.53 Cr
ISL,,,,,,,,,
,,,,,,,,,
,0.16,0.02,7.4,0.09,1.23%,12.64,5.35,1.4 Lac,106.81 Cr
ITTEFAQ,,,,,,,,,
,,,,,,,,,
,0.23,0,77.26,5.55,7.74%,175,46,1.31 Lac,53.43 Cr
JDMT,,,,,,,,,
,,,,,,,,,
,0.38,0.23,852.41,2.4,0.28%,1026,750,63,4924.94 Cr
JDWS,,,,,,,,,
,,,,,,,,,
,0,0.03,172.21,0,0%,340.05,51,11,1762.01 Cr
JKSM,,,,,,,,,
,,,,,,,,,
,1.92,0.03,77.29,7.03,10.01%,85.03,34.06,3.19 Lac,263.78 Cr
JSML,,,,,,,,,
,,,,,,,,,
,-4.91,0.54,103.11,-1.6,-1.53%,163,50.5,4.35 Lac,3927.05 Cr
JVDC,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
KCL,,,,,,,,,
,,,,,,,,,
,-5.93,0.59,6.99,-0.12,-1.69%,9.58,3.6,5.36 Cr,19303.02 Cr
KEL,,,,,,,,,
,,,,,,,,,
,-0.04,0,1217.89,-127.11,-9.45%,3714.44,395.33,189,149.5 Cr
KHYT,,,,,,,,,
,,,,,,,,,
,-0.22,0.02,8.66,-0.16,-1.81%,146.77,7.1,23.14 Lac,440.89 Cr
KML,,,,,,,,,
,,,,,,,,,
,-6.11,0.54,76.62,-1.49,-1.91%,567.99,74,12.81 Lac,7043.73 Cr
KOHC,,,,,,,,,
,,,,,,,,,
,-0.21,0.03,13.48,-0.17,-1.24%,23.49,12.33,1.75 Lac,228.43 Cr
KOHE,,,,,,,,,
,,,,,,,,,
,-0.12,0.01,46.93,-1.06,-2.21%,113,25.03,850,97.61 Cr
KOHTM,,,,,,,,,
,,,,,,,,,
,0.52,0.01,359.28,32.66,10%,359.28,108,11.83 K,575.48 Cr
KPUS,,,,,,,,,
,,,,,,,,,
,-0.18,0.05,190.55,-1.2,-0.63%,278,142,15.77 K,588.8 Cr
KSBP,,,,,,,,,
,,,,,,,,,
,-2.27,0.33,40.04,-0.47,-1.16%,305,37.02,59.37 K,5391.38 Cr
KTML,,,,,,,,,
,,,,,,,,,
,0.53,0.64,227.3,0.31,0.14%,1910,201.17,85.78 K,10496.61 Cr
LCI,,,,,,,,,
,,,,,,,,,
,0.03,0,28.83,0.81,2.89%,72.68,22.11,5.39 K,17.3 Cr
LEUL,,,,,,,,,
,,,,,,,,,
L,-0.2,0.01,33.14,-0.79,-2.33%,90.99,27.82,82.84 K,374.62 Cr
LIVEN,,,,,,,,,
,,,,,,,,,
,0.28,0.04,11.5,0.12,1.05%,22.6,10.93,2.02 Lac,426.94 Cr
LOADS,,,,,,,,,
,,,,,,,,,
,-2.17,0.27,23.5,-0.32,-1.34%,34.3,15.06,4.14 Lac,3558.39 Cr
LOTCHEM,,,,,,,,,
,,,,,,,,,
,0.07,0,75.79,2.01,2.72%,167.86,63.01,789,56.84 Cr
LPGL,,,,,,,,,
,,,,,,,,,
,22.89,5.12,382.12,2.86,0.75%,1796,274.43,23.95 Lac,55980.58 Cr
LUCK,,,,,,,,,
,,,,,,,,,
,0.07,0.01,20.71,0.18,0.88%,70.49,13.11,67.75 K,122.81 Cr
MACFL,,,,,,,,,
,,,,,,,,,
,-0.1,0.13,271.95,-0.34,-0.13%,621.82,255.1,7.39 K,1245.83 Cr
MACTER,,,,,,,,,
,,,,,,,,,
,-10.2,4.62,631.64,-2.36,-0.37%,795,539.13,6.58 Lac,75836.12 Cr
MARI,,,,,,,,,
,,,,,,,,,
,23.61,6.6,481.16,2.89,0.60%,518.79,236.6,13.31 Lac,86635.49 Cr
MEBL,,,,,,,,,
,,,,,,,,,
,3.89,0.16,229.24,9.14,4.15%,440,197.64,184,687.72 Cr
MEHT,,,,,,,,,
,,,,,,,,,
,-0.01,0.01,7.99,-0.01,-0.13%,17,7.1,70.32 K,159.77 Cr
MERIT,,,,,,,,,
,,,,,,,,,
,-0.06,0.02,154.03,-0.95,-0.61%,237,139.66,8.92 K,352.34 Cr
MFFL,,,,,,,,,
,,,,,,,,,
,0.23,0.04,46.42,0.42,0.91%,85.73,32.01,30.94 K,568.18 Cr
MFL,,,,,,,,,
,,,,,,,,,
,5.76,1.09,75.62,0.67,0.89%,132.99,59.25,43.75 Lac,7921.67 Cr
MLCF,,,,,,,,,
,,,,,,,,,
,-0.02,0,19.58,-0.26,-1.31%,52.29,19.18,2.65 K,36.09 Cr
MQTM,,,,,,,,,
,,,,,,,,,
,-0.09,0,15.58,-0.65,-4.01%,23.15,7.02,56.3 K,48.26 Cr
MSCL,,,,,,,,,
,,,,,,,,,
,-2.92,1.36,497.2,-1.8,-0.36%,626.94,465,2.35 Lac,9919.93 Cr
MTL,,,,,,,,,
,,,,,,,,,
,-0.08,0.19,61.94,-0.04,-0.07%,113.99,52,5.28 Lac,2078.92 Cr
MUGHAL,,,,,,,,,
,,,,,,,,,
,-0.17,0.01,51.2,-1.64,-3.10%,170.95,14.8,9.47 K,147.19 Cr
MWMP,,,,,,,,,
,,,,,,,,,
,-1.65,0.59,331.07,-1.55,-0.47%,439,203.01,74.55 K,7717.75 Cr
NATF,,,,,,,,,
,,,,,,,,,
N,0,0,0,0,0%,0,0,0,0
NATM,,,,,,,,,
,,,,,,,,,
,-3.86,1.04,7554.63,-46.76,-0.62%,10524.97,6402.02,1.32 K,34259.93 Cr
NESTLE,,,,,,,,,
,,,,,,,,,
,0.17,0.08,102.54,0.34,0.33%,168.6,87.66,81.82 K,921.19 Cr
NETSOL,,,,,,,,,
,,,,,,,,,
,-0.76,0.64,132.25,-0.27,-0.20%,208.4,94.67,24.56 Lac,4649.91 Cr
NML,,,,,,,,,
,,,,,,,,,
,-2.51,0.27,337.12,-5.35,-1.56%,477.45,157.01,9.87 Lac,2695.83 Cr
NRL,,,,,,,,,
,,,,,,,,,
,0.88,0.03,26.55,1.09,4.28%,48.7,20.6,1.25 Lac,375.21 Cr
NRSL,,,,,,,,,
,,,,,,,,,
,0,0,131.9,0,0%,224.8,29.07,65,205.15 Cr
NSRM,,,,,,,,,
